0.10000000E+02 0.17782794E+02 0.15062120E+01 0.15062106E+01 
0.17782794E+02 0.31622777E+02 0.17164120E+01 0.21503794E+01 
0.31622777E+02 0.56234133E+02 -.10311813E-01 0.10070722E+01 
0.56234133E+02 0.10000000E+03 0.96747349E+01 0.22660641E+01 
0.10000000E+03 0.17782794E+03 0.42727872E+01 0.12682083E+01 
0.17782794E+03 0.31622777E+03 0.42711167E+01 0.96587022E+00 
0.31622777E+03 0.56234133E+03 0.46676158E+01 0.66963250E+00 
0.56234133E+03 0.10000000E+04 0.18400010E+01 0.32340428E+00 
0.10000000E+04 0.17782794E+04 0.86202865E+00 0.16654414E+00 
0.17782794E+04 0.31622777E+04 0.27149657E+00 0.61882186E-01 
0.31622777E+04 0.56234133E+04 0.47414547E-01 0.18028808E-01 
0.56234133E+04 0.10000000E+05 0.00000000E+00 0.00000000E+00 
0.10000000E+05 0.17782794E+05 0.00000000E+00 0.00000000E+00 

